run,tempo_liao,tempo_mine
1,672.547,690.896
2,676.582,682.651
3,742.691,695.811
4,681.042,699.523
5,680.760,693.445
6,699.527,699.056
7,709.106,701.262
8,699.750,708.676
9,715.826,741.715
10,713.567,721.810
