run,tempo_liao,tempo_mine
1,111811.834,64679.738
2,114781.444,64088.964
3,113501.419,63625.327
4,115429.598,63922.946
5,113802.453,66238.821
6,116198.520,66151.689
7,115309.036,65770.807
8,116415.946,64563.360
9,115148.849,64532.685
10,112089.281,63189.316
