run,tempo_liao,tempo_mine
1,5.471,5.018
2,4.859,4.482
3,4.468,4.184
4,4.295,4.116
5,4.299,4.111
6,4.198,4.940
7,4.153,4.025
8,4.691,4.941
9,4.214,3.994
10,4.200,4.039
