run,tempo_liao,tempo_mine
1,23148.948,11468.627
2,23403.907,11755.249
3,23624.298,12191.976
4,24393.420,15543.631
5,24770.957,12408.682
6,24419.203,12523.556
7,24352.955,12182.163
8,24301.608,12159.015
9,24326.879,12309.950
10,24424.564,12458.938
