run,tempo_liao,tempo_mine
1,722.467,739.486
2,728.496,738.597
3,737.918,747.595
4,760.790,774.246
5,766.504,762.830
6,780.354,768.842
7,754.493,749.033
8,764.072,761.882
9,751.229,796.703
10,769.878,766.512
