run,tempo_liao,tempo_mine
1,6.915,5.993
2,5.580,5.094
3,4.876,7.029
4,4.614,5.394
5,4.322,4.689
6,4.293,4.192
7,4.542,4.116
8,4.403,6.444
9,4.334,4.217
10,4.368,4.121
